,Ativação,MAE,RMSE,Rede
0,relu,38.14044316609701,40.55396860115401,lenet
1,lrelu,38.229523213704425,40.696588016741984,lenet
2,relu,12.89194990793864,15.713824690294151,alexnet
3,relu,38.643624242146814,41.274464513769736,lenet
4,lrelu,37.92760988871257,40.52103443609053,lenet
5,relu,12.838392003377278,15.763275945382464,alexnet
6,relu,38.26926244099935,40.76890018943668,lenet
7,lrelu,38.49921340942383,41.02348297742353,lenet
8,relu,12.785449981689453,15.63146651671088,alexnet
9,lrelu,34.57132027943929,37.19672521034208,alexnet
